date,store_id,product_id,product_name,category,units_sold,unit_price,discount_pct,stock_on_hand,lead_time_days
2025-10-17,warsaw,laptop,Aster Pro Laptop,Computing,16,1019.15,0.15,600,5
2025-10-18,warsaw,laptop,Aster Pro Laptop,Computing,17,1019.15,0.15,583,5
2025-10-19,warsaw,laptop,Aster Pro Laptop,Computing,11,1019.15,0.15,572,5
2025-10-20,warsaw,laptop,Aster Pro Laptop,Computing,11,1019.15,0.15,561,5
2025-10-21,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,554,5
2025-10-22,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,547,5
2025-10-23,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,540,5
2025-10-24,warsaw,laptop,Aster Pro Laptop,Computing,12,1199.0,0.0,528,5
2025-10-25,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,521,5
2025-10-26,warsaw,laptop,Aster Pro Laptop,Computing,4,1199.0,0.0,517,5
2025-10-27,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,511,5
2025-10-28,warsaw,laptop,Aster Pro Laptop,Computing,5,1199.0,0.0,506,5
2025-10-29,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,500,5
2025-10-30,warsaw,laptop,Aster Pro Laptop,Computing,10,1199.0,0.0,490,5
2025-10-31,warsaw,laptop,Aster Pro Laptop,Computing,13,1199.0,0.0,813,5
2025-11-01,warsaw,laptop,Aster Pro Laptop,Computing,5,1199.0,0.0,808,5
2025-11-02,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,802,5
2025-11-03,warsaw,laptop,Aster Pro Laptop,Computing,9,1199.0,0.0,793,5
2025-11-04,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,787,5
2025-11-05,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,780,5
2025-11-06,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,773,5
2025-11-07,warsaw,laptop,Aster Pro Laptop,Computing,13,1199.0,0.0,760,5
2025-11-08,warsaw,laptop,Aster Pro Laptop,Computing,9,1199.0,0.0,751,5
2025-11-09,warsaw,laptop,Aster Pro Laptop,Computing,8,1199.0,0.0,743,5
2025-11-10,warsaw,laptop,Aster Pro Laptop,Computing,3,1199.0,0.0,740,5
2025-11-11,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,734,5
2025-11-12,warsaw,laptop,Aster Pro Laptop,Computing,8,1199.0,0.0,726,5
2025-11-13,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,719,5
2025-11-14,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,1049,5
2025-11-15,warsaw,laptop,Aster Pro Laptop,Computing,16,1199.0,0.0,1033,5
2025-11-16,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,1027,5
2025-11-17,warsaw,laptop,Aster Pro Laptop,Computing,11,1199.0,0.0,1016,5
2025-11-18,warsaw,laptop,Aster Pro Laptop,Computing,5,1199.0,0.0,1011,5
2025-11-19,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,1005,5
2025-11-20,warsaw,laptop,Aster Pro Laptop,Computing,2,1199.0,0.0,1003,5
2025-11-21,warsaw,laptop,Aster Pro Laptop,Computing,7,1199.0,0.0,996,5
2025-11-22,warsaw,laptop,Aster Pro Laptop,Computing,11,1199.0,0.0,985,5
2025-11-23,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,979,5
2025-11-24,warsaw,laptop,Aster Pro Laptop,Computing,5,1199.0,0.0,974,5
2025-11-25,warsaw,laptop,Aster Pro Laptop,Computing,5,1199.0,0.0,969,5
2025-11-26,warsaw,laptop,Aster Pro Laptop,Computing,14,1199.0,0.0,955,5
2025-11-27,warsaw,laptop,Aster Pro Laptop,Computing,6,1199.0,0.0,949,5
2025-11-28,warsaw,laptop,Aster Pro Laptop,Computing,9,1199.0,0.0,1276,5
